"Variable_Name","Name_Length","Code_Display","Code length","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Data_length","Dataset","Subset","Group","SubGroup","Set_group_order","Hash_calc","Version_or_questions","Display_Label","Code_synon","MinVal","MaxVal","DSSAT_var","ICASA_standard","AgMIP_data_entry","AgMIP_rating","DSSAT_rating","APSIM_rating","CYCLES","","","","","","","","","",""
"field_geocoord_original","23","FL_GEOCOORD_ORIG","16","FL_GEOCOORD_ORIG","12","","Original geocoordinates as given in source as text","text","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","2017-03-17, JWW","","","","","","1","","0","","","","","","","","","","","","",""
"field_elevation","15","FLELE","5","FLELE","13","","Elevation of field site","m","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","-400","5,000","","1","","1","1","","","","","","","","","","","",""
"field_landscape_position","24","FL_LAND","","FL_LAND","14","","Landscape class of location (e.g., coastal)","code","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","2013-02-07, JWW",".",".","","","","1","","0","","","","","","","","","","","","",""
"field_slope","11","FLSL","4","FLSL","15","","Field slope (from horizontal)","percent","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","0","90","","1","","0","","","","","","","","","","","","",""
"field_slope_length","18","FLSLL","5","FLSLL","16","","Field slope length","m","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"field_slope_aspect","18","FLSLA","5","FLSLA","17","","Field slope aspect, W, nW, etc.","text","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"field_area","10","FAREA","5","FAREA","18","","Field area","m2","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"obstruction_to_sun","18","FLOB","4","FLOB","19","","Obstruction to sun","arc_degrees","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","0","90","","1","","0","","","","","","","","","","","","",""
"field_length_width_ratio","24","FLLWR","5","FLLWR","20","","Field length to width ratio","number","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"field_plow_layer_depth","22","FL_PLOWD","8","FL_PLOWD","21","","Field plow layer depth","cm","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"field_plow_layer_compac","23","FL_PLOWDC","9","FL_PLOWDC","22","","Field plow layer compaction (0 to 1 scale)","number","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","","","D","1","","0","","","","","","","","","","","","",""
"drainage_type","13","FL_DRNTYPE","10","FL_DRNTYPE","23","","Drainage, type in field","code","text","5","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"depth_to_drain","14","FLDRD","5","FLDRD","24","","Drain, depth in field","cm","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"drain_spacing","13","FLDRS","5","FLDRS","25","","Drain spacing","m","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"drain_radius","12","FLDRAD","6","FLDRAD","26","","Drain radius","cm","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","","","","","","","1","-1","","","","","","","","","","","","","",""
"weather_sta_identifier","22","WTH_SUBSET","10","WTH_SUBSET","31","","Subset name for a single weather station","code","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".","WSTA","","","","1","-1","0","","","","","","","","","","","","",""
"weather_file","12","WTH_DATASET","11","WTH_DATASET","32","","Weather dataset containing relevant data","text","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","","","","","","","1","-1","0","","","","","","","","","","","","",""
"wsta_distance","","WST_DIST","","WST_DIST","33","","Distance from weather station to field (m)","m","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","","","","","","","1","","0","","","","","","","","","","","","",""
"soil_identifier","15","SOIL_SUBSET","11","SOIL_SUBSET","41","","Soil identifier","code","text","5","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","",".","ID_SOIL","","","","1","-1","0","","","","","","","","","","","","",""
"soil_file","9","SOIL_DATASET","12","SOIL_DATASET","42","","File containing relevant soil profile description","text","text","31","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"water_table_depth","17","DTWT","4","DTWT","45","","Water table depth","cm","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","","Water table cm",".","0","","","1","-1","0","","","","","","","","","","","","",""
"field_notes","11","FL_NOTES","8","FL_NOTES","51","","Field, short notes","text","text","40","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","","","","","","","1","","0","","","","","","","","","","","","",""
"field_soil_texture","18","FL_SLTX","7","FL_SLTX","46","","Field observed soil texture","code","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","2013-06-06, CHP","","","","","","1","","","","","","","","","","","","","","",""
"soil_analysis_date","18","SADAT","5","SADAT","-99","","Soil analysis date","date","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","",".",".","1","99,365","","1","-1","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"soil_analysis_level","19","SA","2","SA","1","","Soil analysis, treatment level identifier","number","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"soil_analysis_name","18","SA_NAME","7","SA_NAME","2","","Soil analysis name","text","text","31","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","0","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"soil_family_NRCS_system","23","NRCSFAM","7","NRCSFAM","3","","Soil family, NRCS system","text","text","50","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","0","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"soil_analysis_year","18","SAYR","4","SAYR","4","","Soil analysis year","year","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"soil_analysis_day","17","SADAY","5","SADAY","5","","Soil analysis day of year or days after planting","day","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","",".",".","0","366","","1","-1","0","","","","","","","","","","","","",""
"soil_analys_meth_pH_buff","24","SAMHB","5","SAMHB","6","","Soil anlysis method for pH in buffer solution","code","text","5","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"soil_anal_meth_P_extract","24","SAMPX","5","SAMPX","7","","Soil analysis method for P extraction","code","text","5","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"soil_anal_meth_exch_K","21","SAMKE","5","SAMKE","8","","Soil analysis method for exchangeable K","code","text","5","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"soil_anal_meth_exch_Ca","","SAMCAE","","SAMCAE","","","Soil analysis method for Calcium, exchangeable","code","text","5","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","","","","","","","1","-1","0","","","","","","","","","","","","",""
"soil_anal_meth_exch_Mg","","SAMMGE","","SAMMGE","","","Soil analysis method for Magnesium, exchangeable","code","text","5","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","","","","","","","1","-1","0","","","","","","","","","","","","",""
"soil_anal_meth_extract_S","","SAMSE","","SAMSE","","","Soil analysis method for Sulphur, extractable","code","text","5","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","","","","","","","1","-1","0","","","","","","","","","","","","",""
"soil_anal_meth_extract_Zn","","SAMZE","","SAMZE","","","Soil analysis method for Zinc, extractable","code","text","5","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","","","","","","","1","-1","0","","","","","","","","","","","","",""
"soil_anal_meth_extract_B","","SAMBE","","SAMBE","","","Soil analysis method for Boron, extractable","code","text","5","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","","","","","","","1","-1","0","","","","","","","","","","","","",""
"drainage_rate_per_day","21","SADR","4","SADR","9","","Drainage rate as fraction per day","1/d","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"runoff_curve_no_SCS","19","SARO","4","SARO","10","","Runoff curve no. (Soil Conservation Service)","number","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","","2041","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"soil_analysis_level","19","SA","2","SA","1","","Soil analysis, treatment level identifier linkage ","number","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"soil_analysis_layer_top_depth","29","SATL","4","SATL","2","","Soil layer depth to upper boundary of sample (top)","cm","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","chp 2018-19-25",".",".","0","100","","1","-1","0","","","","","","","","","","","","",""
"soil_analysis_layer_base_depth","30","SABL","4","SABL","3","1","Soil layer depth to lower boundary of sample (bottom)","cm","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","chp 2018-19-25",".",".","1","500","","1","-1","0","","","","","","","","","","","","",""
"soil_bulk_dens_moist","20","SABDM","5","SABDM","4","","Soil bulk density, moist, determined on field sample","g/cm3","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".","SABD","0","","","1","-1","0","","","","","","","","","","","","",""
"organic_carbon_conc","19","SAOC","4","SAOC","5","","Organic carbon","%","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"soil_N_conc_total","17","SANI","4","SANI","6","","Nitrogen, total soil, total","%","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"pH_in_water","11","SAPHW","5","SAPHW","7","","pH of soil in water, from in-field sample","number","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".","SAHW","","","","1","-1","0","","","","","","","","","","","","",""
"pH_in_buffer","12","SAPHB","5","SAPHB","8","","pH of soil measured in buffer solution, from in-field sample","number","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".","SAHB","","","","1","-1","0","","","","","","","","","","","","",""
"phosphorus_extractable","22","SAPX","4","SAPX","9","","Phosphorus, extractable","mg/kg","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"potassium_exchangeable","22","SAKE","4","SAKE","10","","Potassium, exchangeable","cmol/kg","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"Calcium_exchangeable","20","SACAE","5","SACAE","10","","Calcium, exchangeable","cmol/kg","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","","","","","","","","","","","","","","","","","","","","","",""
"Magnesium_exchangeable","22","SAMGE","5","SAMGE","10","","Magnesium, exchangeable","cmol/kg","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","","","","","","","","","","","","","","","","","","","","","",""
"Sulphur_extractable","19","SASE","4","SASE","10","","Sulphur, extractable","mg/kg","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","","","","","","","","","","","","","","","","","","","","","",""
"Zinc_extractable","16","SAZE","4","SAZE","10","","Zinc, extractable","mg/kg","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","","","","","","","","","","","","","","","","","","","","","",""
"Boron_extractable","17","SABE","4","SABE","10","","Boron, extractable","mg/kg","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","","","","","","","","","","","","","","","","","","","","","",""
"soil_compac_fact_by_lyr","23","SACMF","5","SACMF","11","","Soil compaction factor by layer (0 to 1 scale)","number","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"soil_stable_C","13","SASC","4","SASC","12","","Stable organic carbon by layer expressed as g[C]/100g[soil]","%","single","","EXPERIMENT","MANAGEMENT","SOIL_ANALYSES","SOIL_ANALYSES_LAYERS","2042","1","",".",".","","","","1","-1","1","1","","","","","","","","","","","",""
"init_residu_measure_date","24","ICRDAT","6","ICRDAT","-99","","Initial residues measurement date","date","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"initial_conditions_date","23","ICDAT","5","ICDAT","-98","","Initial conditions measurement date","date","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","1","99,365","","1","","0","","","","","","","","","","","","",""
